time_s,phase,ambient_temperature_K,relative_humidity_pct,pressure_Pa,altitude_m,tas_ms,thrust_N,propulsive_power_kW
0.000,TO,282.859,51.016,101325.000,0.000,92.141,29158.536,2686.702
1.000,TO,282.859,51.016,100947.123,31.503,92.141,29158.536,2686.702
2.000,TO,282.859,51.016,100570.388,63.005,92.141,29158.536,2686.702
3.000,TO,282.859,51.016,100194.792,94.508,92.141,29158.536,2686.702
4.000,TO,282.859,51.016,99820.332,126.010,92.141,29158.536,2686.702
5.000,TO,282.859,51.016,99447.007,157.513,92.141,29158.536,2686.702
6.000,TO,282.859,51.016,99074.813,189.016,92.141,29158.536,2686.702
7.000,TO,282.859,51.016,98703.748,220.518,92.141,29158.536,2686.702
8.000,TO,282.859,51.016,98333.809,252.021,92.141,29158.536,2686.702
9.000,TO,282.859,51.016,97964.993,283.523,92.141,29158.536,2686.702
10.000,TO,282.859,51.016,97597.299,315.026,92.141,29158.536,2686.702
11.000,TO,282.859,51.016,97230.722,346.529,92.141,29158.536,2686.702
12.000,TO,282.859,51.016,96865.262,378.031,92.141,29158.536,2686.702
13.000,TO,282.859,51.016,96500.914,409.534,92.141,29158.536,2686.702
14.000,TO,282.859,51.016,96137.677,441.036,92.141,29158.536,2686.702
15.000,TO,282.859,51.016,95775.548,472.539,92.141,29158.536,2686.702
16.000,TO,282.859,51.016,95414.524,504.041,92.141,29158.536,2686.702
17.000,TO,282.859,51.016,95054.603,535.544,92.141,29158.536,2686.702
18.000,TO,282.859,51.016,94695.782,567.047,92.141,29158.536,2686.702
19.000,TO,282.859,51.016,94338.059,598.549,92.141,29158.536,2686.702
20.000,TO,282.859,51.016,93981.431,630.052,92.141,29158.536,2686.702
21.000,TO,282.859,51.016,93625.895,661.554,92.141,29158.536,2686.702
22.000,TO,282.859,51.016,93271.449,693.057,92.141,29158.536,2686.702
23.000,TO,282.859,51.016,92918.090,724.560,92.141,29158.536,2686.702
24.000,TO,282.859,51.016,92565.817,756.062,92.141,29158.536,2686.702
25.000,TO,282.859,51.016,92214.625,787.565,92.141,29158.536,2686.702
26.000,TO,282.859,51.016,91864.513,819.067,92.141,29158.536,2686.702
27.000,TO,282.859,51.016,91515.478,850.570,92.141,29158.536,2686.702
28.000,TO,282.859,51.016,91167.518,882.073,92.141,29158.536,2686.702
29.000,TO,282.859,51.016,90820.630,913.575,92.141,29158.536,2686.702
30.000,TO,282.859,51.016,90474.812,945.078,92.141,29158.536,2686.702
31.000,TO,282.859,51.016,90130.060,976.580,92.141,29158.536,2686.702
32.000,TO,282.859,51.016,89786.373,1008.083,92.141,29158.536,2686.702
33.000,TO,282.859,51.016,89443.748,1039.586,92.141,29158.536,2686.702
34.000,TO,282.859,51.016,89102.182,1071.088,92.141,29158.536,2686.702
35.000,TO,282.859,51.016,88761.674,1102.591,92.141,29158.536,2686.702
36.000,TO,282.859,51.016,88422.220,1134.093,92.141,29158.536,2686.702
37.000,TO,282.859,51.016,88083.817,1165.596,92.141,29158.536,2686.702
38.000,TO,282.859,51.016,87746.465,1197.099,92.141,29158.536,2686.702
39.000,TO,282.859,51.016,87410.159,1228.601,92.141,29158.536,2686.702
40.000,TO,282.859,51.016,87074.898,1260.104,92.141,29158.536,2686.702
41.000,TO,282.859,51.016,86740.678,1291.606,92.141,29158.536,2686.702
42.000,TO,282.859,51.016,86726.912,1292.906,92.168,29150.079,2686.702
43.000,TO,282.859,51.016,86686.556,1296.717,92.246,29125.311,2686.702
44.000,TO,282.859,51.016,86621.040,1302.907,92.374,29085.170,2686.702
45.000,TO,282.859,51.016,86531.807,1311.344,92.547,29030.636,2686.702
46.000,TO,282.859,51.016,86420.311,1321.896,92.764,28962.720,2686.702
47.000,TO,282.859,51.016,86288.018,1334.430,93.022,28882.455,2686.702
48.000,TO,282.859,51.016,86136.397,1348.815,93.318,28790.887,2686.702
49.000,TO,282.859,51.016,85966.921,1364.917,93.649,28689.068,2686.702
50.000,TO,282.859,51.016,85781.064,1382.606,94.013,28578.048,2686.702
51.000,TO,282.859,51.016,85580.298,1401.749,94.406,28458.866,2686.702
52.000,TO,282.859,51.016,85366.090,1422.214,94.827,28332.549,2686.702
53.000,TO,282.859,51.016,85139.905,1443.868,95.273,28200.106,2686.702
54.000,TO,282.859,51.016,84903.196,1466.579,95.740,28062.520,2686.702
55.000,TO,282.859,51.016,84657.411,1490.216,96.226,27920.747,2686.702
56.000,TO,282.859,51.016,84403.985,1514.646,96.728,27775.714,2686.702
57.000,TO,282.859,51.016,84144.343,1539.736,97.244,27628.319,2686.702
58.000,TO,282.859,51.016,83879.899,1565.356,97.771,27479.424,2686.702
59.000,TO,282.859,51.016,83612.050,1591.371,98.306,27329.857,2686.702
60.000,TO,282.859,51.016,83342.184,1617.651,98.847,27180.414,2686.702
61.000,CL,273.461,41.388,83071.671,1644.064,99.390,25439.891,2528.476
62.000,CL,273.461,41.388,82801.870,1670.476,99.933,25301.603,2528.476
63.000,CL,273.461,41.388,82534.123,1696.756,100.474,25165.492,2528.476
64.000,CL,273.461,41.388,82269.761,1722.772,101.009,25032.184,2528.476
65.000,CL,273.461,41.388,82010.098,1748.391,101.536,24902.281,2528.476
66.000,CL,273.461,41.388,81756.437,1773.482,102.052,24776.359,2528.476
67.000,CL,273.461,41.388,81510.069,1797.911,102.554,24654.972,2528.476
68.000,CL,273.461,41.388,81272.270,1821.548,103.041,24538.651,2528.476
69.000,CL,273.461,41.388,81044.309,1844.259,103.508,24427.913,2528.476
70.000,CL,273.461,41.388,80827.444,1865.914,103.953,24323.258,2528.476
71.000,CL,273.461,41.388,80622.924,1886.378,104.374,24225.172,2528.476
72.000,CL,273.461,41.388,80431.992,1905.521,104.768,24134.135,2528.476
73.000,CL,273.461,41.388,80255.887,1923.210,105.131,24050.618,2528.476
74.000,CL,273.461,41.388,80095.845,1939.313,105.463,23975.091,2528.476
75.000,CL,273.461,41.388,79953.097,1953.697,105.758,23908.022,2528.476
76.000,CL,273.461,41.388,79828.881,1966.232,106.016,23849.887,2528.476
77.000,CL,273.461,41.388,79724.433,1976.783,106.233,23801.165,2528.476
78.000,CL,273.461,41.388,79640.998,1985.220,106.407,23762.351,2528.476
79.000,CL,273.461,41.388,79579.828,1991.410,106.534,23733.955,2528.476
80.000,CL,273.461,41.388,79542.188,1995.221,106.612,23716.506,2528.476
81.000,CL,273.461,41.388,79529.354,1996.521,106.639,23710.561,2528.476
82.000,CL,273.461,41.388,79476.856,2001.839,106.639,23710.561,2528.476
83.000,CL,273.461,41.388,79424.387,2007.158,106.639,23710.561,2528.476
84.000,CL,273.461,41.388,79371.945,2012.476,106.639,23710.561,2528.476
85.000,CL,273.461,41.388,79319.532,2017.794,106.639,23710.561,2528.476
86.000,CL,273.461,41.388,79267.146,2023.112,106.639,23710.561,2528.476
87.000,CL,273.461,41.388,79214.789,2028.431,106.639,23710.561,2528.476
88.000,CL,273.461,41.388,79162.459,2033.749,106.639,23710.561,2528.476
89.000,CL,273.461,41.388,79110.158,2039.067,106.639,23710.561,2528.476
90.000,CL,273.461,41.388,79057.884,2044.385,106.639,23710.561,2528.476
91.000,CL,273.461,41.388,79005.639,2049.704,106.639,23710.561,2528.476
92.000,CL,273.461,41.388,78953.421,2055.022,106.639,23710.561,2528.476
93.000,CL,273.461,41.388,78901.232,2060.340,106.639,23710.561,2528.476
94.000,CL,273.461,41.388,78849.070,2065.659,106.639,23710.561,2528.476
95.000,CL,273.461,41.388,78796.936,2070.977,106.639,23710.561,2528.476
96.000,CL,273.461,41.388,78744.831,2076.295,106.639,23710.561,2528.476
97.000,CL,273.461,41.388,78692.753,2081.613,106.639,23710.561,2528.476
98.000,CL,273.461,41.388,78640.703,2086.932,106.639,23710.561,2528.476
99.000,CL,273.461,41.388,78588.680,2092.250,106.639,23710.561,2528.476
100.000,CL,273.461,41.388,78536.686,2097.568,106.639,23710.561,2528.476
101.000,CL,273.461,41.388,78484.720,2102.886,106.639,23710.561,2528.476
102.000,CL,273.461,41.388,78432.781,2108.205,106.639,23710.561,2528.476
103.000,CL,273.461,41.388,78380.871,2113.523,106.639,23710.561,2528.476
104.000,CL,273.461,41.388,78328.988,2118.841,106.639,23710.561,2528.476
105.000,CL,273.461,41.388,78277.133,2124.160,106.639,23710.561,2528.476
106.000,CL,273.461,41.388,78225.305,2129.478,106.639,23710.561,2528.476
107.000,CL,273.461,41.388,78173.506,2134.796,106.639,23710.561,2528.476
108.000,CL,273.461,41.388,78121.734,2140.114,106.639,23710.561,2528.476
109.000,CL,273.461,41.388,78069.990,2145.433,106.639,23710.561,2528.476
110.000,CL,273.461,41.388,78018.274,2150.751,106.639,23710.561,2528.476
111.000,CL,273.461,41.388,77966.586,2156.069,106.639,23710.561,2528.476
112.000,CL,273.461,41.388,77914.925,2161.387,106.639,23710.561,2528.476
113.000,CL,273.461,41.388,77863.292,2166.706,106.639,23710.561,2528.476
114.000,CL,273.461,41.388,77811.687,2172.024,106.639,23710.561,2528.476
115.000,CL,273.461,41.388,77760.109,2177.342,106.639,23710.561,2528.476
116.000,CL,273.461,41.388,77708.559,2182.661,106.639,23710.561,2528.476
117.000,CL,273.461,41.388,77657.037,2187.979,106.639,23710.561,2528.476
118.000,CL,273.461,41.388,77605.542,2193.297,106.639,23710.561,2528.476
119.000,CL,273.461,41.388,77554.075,2198.615,106.639,23710.561,2528.476
120.000,CL,273.461,41.388,77502.636,2203.934,106.639,23710.561,2528.476
121.000,CL,273.461,41.388,77451.225,2209.252,106.639,23710.561,2528.476
122.000,CL,273.461,41.388,77399.841,2214.570,106.639,23710.561,2528.476
123.000,CL,273.461,41.388,77348.484,2219.889,106.639,23710.561,2528.476
124.000,CL,273.461,41.388,77297.155,2225.207,106.639,23710.561,2528.476
125.000,CL,273.461,41.388,77245.854,2230.525,106.639,23710.561,2528.476
126.000,CL,273.461,41.388,77194.580,2235.843,106.639,23710.561,2528.476
127.000,CL,273.461,41.388,77143.334,2241.162,106.639,23710.561,2528.476
128.000,CL,273.461,41.388,77092.116,2246.480,106.639,23710.561,2528.476
129.000,CL,273.461,41.388,77040.925,2251.798,106.639,23710.561,2528.476
130.000,CL,273.461,41.388,76989.761,2257.116,106.639,23710.561,2528.476
131.000,CL,273.461,41.388,76938.625,2262.435,106.639,23710.561,2528.476
132.000,CL,273.461,41.388,76887.517,2267.753,106.639,23710.561,2528.476
133.000,CL,273.461,41.388,76836.436,2273.071,106.639,23710.561,2528.476
134.000,CL,273.461,41.388,76785.383,2278.390,106.639,23710.561,2528.476
135.000,CL,273.461,41.388,76734.357,2283.708,106.639,23710.561,2528.476
136.000,CL,273.461,41.388,76683.358,2289.026,106.639,23710.561,2528.476
137.000,CL,273.461,41.388,76632.387,2294.344,106.639,23710.561,2528.476
138.000,CL,273.461,41.388,76581.443,2299.663,106.639,23710.561,2528.476
139.000,CL,273.461,41.388,76530.527,2304.981,106.639,23710.561,2528.476
140.000,CL,273.461,41.388,76479.638,2310.299,106.639,23710.561,2528.476
141.000,CL,273.461,41.388,76428.777,2315.617,106.639,23710.561,2528.476
142.000,CL,273.461,41.388,76377.943,2320.936,106.639,23710.561,2528.476
143.000,CL,273.461,41.388,76327.136,2326.254,106.639,23710.561,2528.476
144.000,CL,273.461,41.388,76276.357,2331.572,106.639,23710.561,2528.476
145.000,CL,273.461,41.388,76225.605,2336.891,106.639,23710.561,2528.476
146.000,CL,273.461,41.388,76174.880,2342.209,106.639,23710.561,2528.476
147.000,CL,273.461,41.388,76124.183,2347.527,106.639,23710.561,2528.476
148.000,CL,273.461,41.388,76073.513,2352.845,106.639,23710.561,2528.476
149.000,CL,273.461,41.388,76022.871,2358.164,106.639,23710.561,2528.476
150.000,CL,273.461,41.388,75972.255,2363.482,106.639,23710.561,2528.476
151.000,CL,273.461,41.388,75921.667,2368.800,106.639,23710.561,2528.476
152.000,CL,273.461,41.388,75871.107,2374.118,106.639,23710.561,2528.476
153.000,CL,273.461,41.388,75820.573,2379.437,106.639,23710.561,2528.476
154.000,CL,273.461,41.388,75770.067,2384.755,106.639,23710.561,2528.476
155.000,CL,273.461,41.388,75719.588,2390.073,106.639,23710.561,2528.476
156.000,CL,273.461,41.388,75669.137,2395.392,106.639,23710.561,2528.476
157.000,CL,273.461,41.388,75618.712,2400.710,106.639,23710.561,2528.476
158.000,CL,273.461,41.388,75568.315,2406.028,106.639,23710.561,2528.476
159.000,CL,273.461,41.388,75517.945,2411.346,106.639,23710.561,2528.476
160.000,CL,273.461,41.388,75467.602,2416.665,106.639,23710.561,2528.476
161.000,CL,273.461,41.388,75417.286,2421.983,106.639,23710.561,2528.476
162.000,CL,273.461,41.388,75366.998,2427.301,106.639,23710.561,2528.476
163.000,CL,273.461,41.388,75316.736,2432.619,106.639,23710.561,2528.476
164.000,CL,273.461,41.388,75266.502,2437.938,106.639,23710.561,2528.476
165.000,CL,273.461,41.388,75216.295,2443.256,106.639,23710.561,2528.476
166.000,CL,273.461,41.388,75166.115,2448.574,106.639,23710.561,2528.476
167.000,CL,273.461,41.388,75115.962,2453.893,106.639,23710.561,2528.476
168.000,CL,273.461,41.388,75065.836,2459.211,106.639,23710.561,2528.476
169.000,CL,273.461,41.388,75015.738,2464.529,106.639,23710.561,2528.476
170.000,CL,273.461,41.388,74965.666,2469.847,106.639,23710.561,2528.476
171.000,CL,273.461,41.388,74915.621,2475.166,106.639,23710.561,2528.476
172.000,CL,273.461,41.388,74865.604,2480.484,106.639,23710.561,2528.476
173.000,CL,273.461,41.388,74815.614,2485.802,106.639,23710.561,2528.476
174.000,CL,273.461,41.388,74765.650,2491.120,106.639,23710.561,2528.476
175.000,CL,273.461,41.388,74715.714,2496.439,106.639,23710.561,2528.476
176.000,CL,273.461,41.388,74665.804,2501.757,106.639,23710.561,2528.476
177.000,CL,273.461,41.388,74615.922,2507.075,106.639,23710.561,2528.476
178.000,CL,273.461,41.388,74566.067,2512.394,106.639,23710.561,2528.476
179.000,CL,273.461,41.388,74516.238,2517.712,106.639,23710.561,2528.476
180.000,CL,273.461,41.388,74466.437,2523.030,106.639,23710.561,2528.476
181.000,CL,273.461,41.388,74416.662,2528.348,106.639,23710.561,2528.476
182.000,CL,273.461,41.388,74366.915,2533.667,106.639,23710.561,2528.476
183.000,CL,273.461,41.388,74317.194,2538.985,106.639,23710.561,2528.476
184.000,CL,273.461,41.388,74267.501,2544.303,106.639,23710.561,2528.476
185.000,CL,273.461,41.388,74217.834,2549.621,106.639,23710.561,2528.476
186.000,CL,273.461,41.388,74168.194,2554.940,106.639,23710.561,2528.476
187.000,CL,273.461,41.388,74118.581,2560.258,106.639,23710.561,2528.476
188.000,CL,273.461,41.388,74068.995,2565.576,106.639,23710.561,2528.476
189.000,CL,273.461,41.388,74019.436,2570.895,106.639,23710.561,2528.476
190.000,CL,273.461,41.388,73969.903,2576.213,106.639,23710.561,2528.476
191.000,CL,273.461,41.388,73920.398,2581.531,106.639,23710.561,2528.476
192.000,CL,273.461,41.388,73870.919,2586.849,106.639,23710.561,2528.476
193.000,CL,273.461,41.388,73821.467,2592.168,106.639,23710.561,2528.476
194.000,CL,273.461,41.388,73772.042,2597.486,106.639,23710.561,2528.476
195.000,CL,273.461,41.388,73722.644,2602.804,106.639,23710.561,2528.476
196.000,CL,273.461,41.388,73673.272,2608.122,106.639,23710.561,2528.476
197.000,CL,273.461,41.388,73623.927,2613.441,106.639,23710.561,2528.476
198.000,CL,273.461,41.388,73574.609,2618.759,106.639,23710.561,2528.476
199.000,CL,273.461,41.388,73525.318,2624.077,106.639,23710.561,2528.476
200.000,CL,273.461,41.388,73476.054,2629.396,106.639,23710.561,2528.476
201.000,CL,273.461,41.388,73426.816,2634.714,106.639,23710.561,2528.476
202.000,CL,273.461,41.388,73377.605,2640.032,106.639,23710.561,2528.476
203.000,CL,273.461,41.388,73328.421,2645.350,106.639,23710.561,2528.476
204.000,CL,273.461,41.388,73279.263,2650.669,106.639,23710.561,2528.476
205.000,CL,273.461,41.388,73230.132,2655.987,106.639,23710.561,2528.476
206.000,CL,273.461,41.388,73181.028,2661.305,106.639,23710.561,2528.476
207.000,CL,273.461,41.388,73131.950,2666.623,106.639,23710.561,2528.476
208.000,CL,273.461,41.388,73082.900,2671.942,106.639,23710.561,2528.476
209.000,CL,273.461,41.388,73033.875,2677.260,106.639,23710.561,2528.476
210.000,CL,273.461,41.388,72984.878,2682.578,106.639,23710.561,2528.476
211.000,CL,273.461,41.388,72935.907,2687.897,106.639,23710.561,2528.476
212.000,CL,273.461,41.388,72886.962,2693.215,106.639,23710.561,2528.476
213.000,CL,273.461,41.388,72838.044,2698.533,106.639,23710.561,2528.476
214.000,CL,273.461,41.388,72789.153,2703.851,106.639,23710.561,2528.476
215.000,CL,273.461,41.388,72740.289,2709.170,106.639,23710.561,2528.476
216.000,CL,273.461,41.388,72691.450,2714.488,106.639,23710.561,2528.476
217.000,CL,273.461,41.388,72642.639,2719.806,106.639,23710.561,2528.476
218.000,CL,273.461,41.388,72593.854,2725.124,106.639,23710.561,2528.476
219.000,CL,273.461,41.388,72545.096,2730.443,106.639,23710.561,2528.476
220.000,CL,273.461,41.388,72496.364,2735.761,106.639,23710.561,2528.476
221.000,CL,273.461,41.388,72447.658,2741.079,106.639,23710.561,2528.476
222.000,CL,273.461,41.388,72398.979,2746.398,106.639,23710.561,2528.476
223.000,CL,273.461,41.388,72350.327,2751.716,106.639,23710.561,2528.476
224.000,CL,273.461,41.388,72301.701,2757.034,106.639,23710.561,2528.476
225.000,CL,273.461,41.388,72253.101,2762.352,106.639,23710.561,2528.476
226.000,CL,273.461,41.388,72204.528,2767.671,106.639,23710.561,2528.476
227.000,CL,273.461,41.388,72155.982,2772.989,106.639,23710.561,2528.476
228.000,CL,273.461,41.388,72107.462,2778.307,106.639,23710.561,2528.476
229.000,CL,273.461,41.388,72058.968,2783.625,106.639,23710.561,2528.476
230.000,CL,273.461,41.388,72010.501,2788.944,106.639,23710.561,2528.476
231.000,CL,273.461,41.388,71962.060,2794.262,106.639,23710.561,2528.476
232.000,CL,273.461,41.388,71913.645,2799.580,106.639,23710.561,2528.476
233.000,CL,273.461,41.388,71865.257,2804.899,106.639,23710.561,2528.476
234.000,CL,273.461,41.388,71816.895,2810.217,106.639,23710.561,2528.476
235.000,CL,273.461,41.388,71768.560,2815.535,106.639,23710.561,2528.476
236.000,CL,273.461,41.388,71720.251,2820.853,106.639,23710.561,2528.476
237.000,CL,273.461,41.388,71671.968,2826.172,106.639,23710.561,2528.476
238.000,CL,273.461,41.388,71623.712,2831.490,106.639,23710.561,2528.476
239.000,CL,273.461,41.388,71575.481,2836.808,106.639,23710.561,2528.476
240.000,CL,273.461,41.388,71527.278,2842.126,106.639,23710.561,2528.476
241.000,CL,273.461,41.388,71479.100,2847.445,106.639,23710.561,2528.476
242.000,CL,273.461,41.388,71430.949,2852.763,106.639,23710.561,2528.476
243.000,CL,273.461,41.388,71382.824,2858.081,106.639,23710.561,2528.476
244.000,CL,273.461,41.388,71334.725,2863.400,106.639,23710.561,2528.476
245.000,CL,273.461,41.388,71286.653,2868.718,106.639,23710.561,2528.476
246.000,CL,273.461,41.388,71238.607,2874.036,106.639,23710.561,2528.476
247.000,CL,273.461,41.388,71190.587,2879.354,106.639,23710.561,2528.476
248.000,CL,273.461,41.388,71142.593,2884.673,106.639,23710.561,2528.476
249.000,CL,273.461,41.388,71094.625,2889.991,106.639,23710.561,2528.476
250.000,CL,273.461,41.388,71046.684,2895.309,106.639,23710.561,2528.476
251.000,CL,273.461,41.388,70998.769,2900.627,106.639,23710.561,2528.476
252.000,CL,273.461,41.388,70950.879,2905.946,106.639,23710.561,2528.476
253.000,CL,273.461,41.388,70903.017,2911.264,106.639,23710.561,2528.476
254.000,CL,273.461,41.388,70855.180,2916.582,106.639,23710.561,2528.476
255.000,CL,273.461,41.388,70807.369,2921.901,106.639,23710.561,2528.476
