time_s,phase,ambient_temperature_K,relative_humidity_pct,pressure_Pa,altitude_m,tas_ms,thrust_N,propulsive_power_kW
0.000,TO,282.859,51.016,101325.000,0.000,92.141,29872.717,2752.507
1.000,TO,282.859,51.016,100947.123,31.503,92.141,29809.903,2746.720
2.000,TO,282.859,51.016,100570.388,63.005,92.141,29890.280,2754.126
3.000,TO,282.859,51.016,100194.792,94.508,92.141,30169.135,2779.820
4.000,TO,282.859,51.016,99820.332,126.010,92.141,30576.236,2817.330
5.000,TO,282.859,51.016,99447.007,157.513,92.141,31165.400,2871.617
6.000,TO,282.859,51.016,99074.813,189.016,92.141,31736.800,2924.266
7.000,TO,282.859,51.016,98703.748,220.518,92.141,32155.544,2962.850
8.000,TO,282.859,51.016,98333.809,252.021,92.141,32501.383,2994.716
9.000,TO,282.859,51.016,97964.993,283.523,92.141,32607.076,3004.454
10.000,TO,282.859,51.016,97597.299,315.026,92.141,32537.683,2998.060
11.000,TO,282.859,51.016,97230.722,346.529,92.141,32357.059,2981.417
12.000,TO,282.859,51.016,96865.262,378.031,92.141,32074.720,2955.402
13.000,TO,282.859,51.016,96500.914,409.534,92.141,31805.235,2930.572
14.000,TO,282.859,51.016,96137.677,441.036,92.141,31560.972,2908.065
15.000,TO,282.859,51.016,95775.548,472.539,92.141,31411.349,2894.279
16.000,TO,282.859,51.016,95414.524,504.041,92.141,31359.585,2889.509
17.000,TO,282.859,51.016,95054.603,535.544,92.141,31277.276,2881.925
18.000,TO,282.859,51.016,94695.782,567.047,92.141,31154.547,2870.617
19.000,TO,282.859,51.016,94338.059,598.549,92.141,31114.000,2866.881
20.000,TO,282.859,51.016,93981.431,630.052,92.141,31002.208,2856.580
21.000,TO,282.859,51.016,93625.895,661.554,92.141,30748.294,2833.184
22.000,TO,282.859,51.016,93271.449,693.057,92.141,30509.539,2811.185
23.000,TO,282.859,51.016,92918.090,724.560,92.141,30493.193,2809.679
24.000,TO,282.859,51.016,92565.817,756.062,92.141,30702.666,2828.980
25.000,TO,282.859,51.016,92214.625,787.565,92.141,30992.037,2855.643
26.000,TO,282.859,51.016,91864.513,819.067,92.141,31253.164,2879.703
27.000,TO,282.859,51.016,91515.478,850.570,92.141,31375.092,2890.938
28.000,TO,282.859,51.016,91167.518,882.073,92.141,31363.701,2889.888
29.000,TO,282.859,51.016,90820.630,913.575,92.141,31344.046,2888.077
30.000,TO,282.859,51.016,90474.812,945.078,92.141,31306.587,2884.626
31.000,TO,282.859,51.016,90130.060,976.580,92.141,31149.686,2870.169
32.000,TO,282.859,51.016,89786.373,1008.083,92.141,30892.841,2846.503
33.000,TO,282.859,51.016,89443.748,1039.586,92.141,30557.529,2815.607
34.000,TO,282.859,51.016,89102.182,1071.088,92.141,30059.925,2769.757
35.000,TO,282.859,51.016,88761.674,1102.591,92.141,29489.885,2717.233
36.000,TO,282.859,51.016,88422.220,1134.093,92.141,28902.198,2663.082
37.000,TO,282.859,51.016,88083.817,1165.596,92.141,28335.049,2610.825
38.000,TO,282.859,51.016,87746.465,1197.099,92.141,27743.400,2556.309
39.000,TO,282.859,51.016,87410.159,1228.601,92.141,27131.042,2499.886
40.000,TO,282.859,51.016,87074.898,1260.104,92.141,26465.320,2438.546
41.000,TO,282.859,51.016,86740.678,1291.606,92.141,25753.981,2373.002
