time_s,phase,ambient_temperature_K,relative_humidity_pct,pressure_Pa,altitude_m,tas_ms,thrust_N,propulsive_power_kW
0.000,TO,282.777,73.527,101325.000,0.000,81.800,37630.891,3078.211
1.000,TO,282.777,73.527,101238.148,7.232,81.800,37630.891,3078.211
2.000,TO,282.777,73.527,101151.356,14.464,81.800,37630.891,3078.211
3.000,TO,282.777,73.527,101064.625,21.697,81.800,37630.891,3078.211
4.000,TO,282.777,73.527,100977.954,28.929,81.800,37630.891,3078.211
5.000,TO,282.777,73.527,100891.342,36.161,81.800,37630.891,3078.211
6.000,TO,282.777,73.527,100804.792,43.393,81.800,37630.891,3078.211
7.000,TO,282.777,73.527,100718.301,50.625,81.800,37630.891,3078.211
8.000,TO,282.777,73.527,100631.870,57.857,81.800,37630.891,3078.211
9.000,TO,282.777,73.527,100545.500,65.090,81.800,37630.891,3078.211
10.000,TO,282.777,73.527,100459.189,72.322,81.800,37630.891,3078.211
11.000,TO,282.777,73.527,100372.938,79.554,81.800,37630.891,3078.211
12.000,TO,282.777,73.527,100286.748,86.786,81.800,37630.891,3078.211
13.000,TO,282.777,73.527,100200.617,94.018,81.800,37630.891,3078.211
14.000,TO,282.777,73.527,100114.547,101.251,81.800,37630.891,3078.211
15.000,TO,282.777,73.527,100028.536,108.483,81.800,37630.891,3078.211
16.000,TO,282.777,73.527,99942.585,115.715,81.800,37630.891,3078.211
17.000,TO,282.777,73.527,99856.693,122.947,81.800,37630.891,3078.211
18.000,TO,282.777,73.527,99770.862,130.179,81.800,37630.891,3078.211
19.000,TO,282.777,73.527,99685.090,137.412,81.800,37630.891,3078.211
20.000,TO,282.777,73.527,99599.378,144.644,81.800,37630.891,3078.211
21.000,TO,282.777,73.527,99513.726,151.876,81.800,37630.891,3078.211
22.000,TO,282.777,73.527,99428.134,159.108,81.800,37630.891,3078.211
23.000,TO,282.777,73.527,99342.601,166.340,81.800,37630.891,3078.211
24.000,TO,282.777,73.527,99257.127,173.572,81.800,37630.891,3078.211
25.000,TO,282.777,73.527,99171.713,180.805,81.800,37630.891,3078.211
26.000,TO,282.777,73.527,99086.359,188.037,81.800,37630.891,3078.211
27.000,TO,282.777,73.527,99001.064,195.269,81.800,37630.891,3078.211
28.000,TO,282.777,73.527,98915.829,202.501,81.800,37630.891,3078.211
29.000,TO,282.777,73.527,98830.653,209.733,81.800,37630.891,3078.211
30.000,TO,282.777,73.527,98745.536,216.966,81.800,37630.891,3078.211
31.000,TO,282.777,73.527,98660.479,224.198,81.800,37630.891,3078.211
32.000,TO,282.777,73.527,98575.481,231.430,81.800,37630.891,3078.211
33.000,TO,282.777,73.527,98490.543,238.662,81.800,37630.891,3078.211
34.000,TO,282.777,73.527,98405.664,245.894,81.800,37630.891,3078.211
35.000,TO,282.777,73.527,98320.844,253.127,81.800,37630.891,3078.211
