time_s,phase,ambient_temperature_K,relative_humidity_pct,pressure_Pa,altitude_m,tas_ms,thrust_N,propulsive_power_kW
0.000,TO,282.777,73.527,101325.000,0.000,81.800,37517.865,3068.966
1.000,TO,282.777,73.527,101238.148,7.232,81.800,37758.025,3088.611
2.000,TO,282.777,73.527,101151.356,14.464,81.800,37861.322,3097.061
3.000,TO,282.777,73.527,101064.625,21.697,81.800,37977.293,3106.547
4.000,TO,282.777,73.527,100977.954,28.929,81.800,37930.101,3102.687
5.000,TO,282.777,73.527,100891.342,36.161,81.800,37908.006,3100.879
6.000,TO,282.777,73.527,100804.792,43.393,81.800,37809.303,3092.805
7.000,TO,282.777,73.527,100718.301,50.625,81.800,37743.819,3087.449
8.000,TO,282.777,73.527,100631.870,57.857,81.800,37695.892,3083.528
9.000,TO,282.777,73.527,100545.500,65.090,81.800,37717.116,3085.264
10.000,TO,282.777,73.527,100459.189,72.322,81.800,37826.767,3094.234
11.000,TO,282.777,73.527,100372.938,79.554,81.800,38076.938,3114.698
12.000,TO,282.777,73.527,100286.748,86.786,81.800,38385.207,3139.914
13.000,TO,282.777,73.527,100200.617,94.018,81.800,38942.276,3185.483
14.000,TO,282.777,73.527,100114.547,101.251,81.800,39443.408,3226.475
15.000,TO,282.777,73.527,100028.536,108.483,81.800,39985.491,3270.818
16.000,TO,282.777,73.527,99942.585,115.715,81.800,40518.429,3314.412
17.000,TO,282.777,73.527,99856.693,122.947,81.800,41018.625,3355.328
18.000,TO,282.777,73.527,99770.862,130.179,81.800,41577.283,3401.027
19.000,TO,282.777,73.527,99685.090,137.412,81.800,42026.905,3437.806
20.000,TO,282.777,73.527,99599.378,144.644,81.800,42501.131,3476.597
21.000,TO,282.777,73.527,99513.726,151.876,81.800,43031.603,3519.990
22.000,TO,282.777,73.527,99428.134,159.108,81.800,43514.877,3559.522
23.000,TO,282.777,73.527,99342.601,166.340,81.800,43893.604,3590.502
24.000,TO,282.777,73.527,99257.127,173.572,81.800,44039.475,3602.434
25.000,TO,282.777,73.527,99171.713,180.805,81.800,44082.347,3605.941
26.000,TO,282.777,73.527,99086.359,188.037,81.800,44079.671,3605.722
27.000,TO,282.777,73.527,99001.064,195.269,81.800,44117.933,3608.852
28.000,TO,282.777,73.527,98915.829,202.501,81.800,44199.001,3615.483
29.000,TO,282.777,73.527,98830.653,209.733,81.800,44370.625,3629.522
30.000,TO,282.777,73.527,98745.536,216.966,81.800,44550.420,3644.230
31.000,TO,282.777,73.527,98660.479,224.198,81.800,44709.085,3657.208
32.000,TO,282.777,73.527,98575.481,231.430,81.800,44979.033,3679.290
33.000,TO,282.777,73.527,98490.543,238.662,81.800,45337.346,3708.600
34.000,TO,282.777,73.527,98405.664,245.894,81.800,45808.373,3747.130
35.000,TO,282.777,73.527,98320.844,253.127,81.800,46199.193,3779.099
36.000,TO,282.777,73.527,98236.083,260.359,81.800,46751.412,3824.271
37.000,TO,282.777,73.527,98151.381,267.591,81.800,47255.335,3865.492
38.000,TO,282.777,73.527,98066.739,274.823,81.800,47769.245,3907.530
39.000,TO,282.777,73.527,97982.155,282.055,81.800,48365.392,3956.295
40.000,TO,282.777,73.527,97897.631,289.287,81.800,48886.931,3998.957
41.000,TO,282.777,73.527,97813.166,296.520,81.800,49377.517,4039.087
42.000,TO,282.777,73.527,97728.760,303.752,81.800,49760.270,4070.396
43.000,TO,282.777,73.527,97644.413,310.984,81.800,49933.141,4084.537
44.000,TO,282.777,73.527,97560.124,318.216,81.800,49927.330,4084.061
45.000,TO,282.777,73.527,97475.895,325.448,81.800,49784.861,4072.407
46.000,TO,282.777,73.527,97391.725,332.681,81.800,49261.224,4029.574
47.000,TO,282.777,73.527,97307.613,339.913,81.800,48530.362,3969.789
48.000,TO,282.777,73.527,97223.560,347.145,81.800,47660.525,3898.636
49.000,TO,282.777,73.527,97139.566,354.377,81.800,46645.469,3815.605
50.000,TO,282.777,73.527,97055.631,361.609,81.800,45573.517,3727.919
51.000,TO,282.777,73.527,96971.755,368.842,81.800,44577.728,3646.463
52.000,TO,282.777,73.527,96887.937,376.074,81.800,43552.271,3562.581
53.000,TO,282.777,73.527,96804.178,383.306,81.800,42431.595,3470.909
54.000,TO,282.777,73.527,96720.478,390.538,81.800,41374.069,3384.404
55.000,TO,282.777,73.527,96636.836,397.770,81.800,40327.159,3298.766
56.000,TO,282.777,73.527,96553.253,405.002,81.800,39206.780,3207.119
57.000,TO,282.777,73.527,96469.728,412.235,81.800,38004.875,3108.803
58.000,TO,282.777,73.527,96386.262,419.467,81.800,36680.423,3000.463
59.000,TO,282.777,73.527,96302.854,426.699,81.800,35200.333,2879.391
60.000,TO,282.777,73.527,96219.505,433.931,81.800,33523.270,2742.207
61.000,TO,282.777,73.527,96136.214,441.163,81.800,31829.827,2603.684
62.000,TO,282.777,73.527,96052.982,448.396,81.800,30232.702,2473.039
63.000,TO,282.777,73.527,95969.808,455.628,81.800,28766.433,2353.098
64.000,TO,282.777,73.527,95886.692,462.860,81.800,27519.853,2251.127
65.000,TO,282.777,73.527,95803.634,470.092,81.800,26456.637,2164.156
66.000,TO,282.777,73.527,95720.635,477.324,81.800,25528.623,2088.244
67.000,TO,282.777,73.527,95637.694,484.557,81.800,24766.628,2025.913
68.000,TO,282.777,73.527,95554.812,491.789,81.800,24213.485,1980.666
69.000,TO,282.777,73.527,95471.987,499.021,81.800,23799.277,1946.784
70.000,TO,282.777,73.527,95389.221,506.253,81.800,23591.895,1929.820
71.000,TO,282.777,73.527,95306.512,513.485,81.800,23608.465,1931.175
72.000,TO,282.777,73.527,95223.862,520.717,81.800,23835.881,1949.778
73.000,TO,282.777,73.527,95141.270,527.950,81.800,24221.260,1981.302
74.000,TO,282.777,73.527,95058.736,535.182,81.800,24704.576,2020.837
75.000,TO,282.777,73.527,94976.260,542.414,81.800,25306.378,2070.065
76.000,TO,282.777,73.527,94893.841,549.646,81.800,26084.094,2133.682
77.000,TO,282.777,73.527,94811.481,556.878,81.800,26896.181,2200.111
78.000,TO,282.777,73.527,94729.179,564.111,81.800,27786.056,2272.903
79.000,TO,282.777,73.527,94646.934,571.343,81.800,28692.798,2347.074
80.000,TO,282.777,73.527,94564.748,578.575,81.800,29595.950,2420.952
81.000,TO,282.777,73.527,94482.619,585.807,81.800,30532.525,2497.564
82.000,TO,282.777,73.527,94400.547,593.039,81.800,31437.625,2571.601
83.000,TO,282.777,73.527,94318.534,600.271,81.800,32280.779,2640.571
84.000,TO,282.777,73.527,94236.578,607.504,81.800,32935.025,2694.089
85.000,TO,282.777,73.527,94154.680,614.736,81.800,33451.651,2736.349
86.000,TO,282.777,73.527,94072.840,621.968,81.800,33850.055,2768.938
87.000,TO,282.777,73.527,93991.057,629.200,81.800,34193.654,2797.045
88.000,TO,282.777,73.527,93909.332,636.432,81.800,34435.994,2816.868
89.000,TO,282.777,73.527,93827.664,643.665,81.800,34583.150,2828.906
90.000,TO,282.777,73.527,93746.054,650.897,81.800,34646.329,2834.074
91.000,TO,282.777,73.527,93664.502,658.129,81.800,34618.143,2831.768
92.000,TO,282.777,73.527,93583.006,665.361,81.800,34650.960,2834.453
93.000,TO,282.777,73.527,93501.569,672.593,81.800,34606.884,2830.847
94.000,TO,282.777,73.527,93420.188,679.826,81.800,34627.439,2832.529
95.000,TO,282.777,73.527,93338.865,687.058,81.800,34736.764,2841.471
96.000,TO,282.777,73.527,93257.600,694.290,81.800,34942.193,2858.275
97.000,TO,282.777,73.527,93176.391,701.522,81.800,35365.824,2892.929
98.000,TO,282.777,73.527,93095.240,708.754,81.800,35886.806,2935.545
99.000,TO,282.777,73.527,93014.146,715.986,81.800,36377.484,2975.682
100.000,TO,282.777,73.527,92933.110,723.219,81.800,36951.273,3022.618
101.000,TO,282.777,73.527,92852.130,730.451,81.800,37604.265,3076.033
102.000,TO,282.777,73.527,92771.208,737.683,81.800,38241.887,3128.191
103.000,TO,282.777,73.527,92690.343,744.915,81.800,38789.950,3173.022
104.000,TO,282.777,73.527,92609.535,752.147,81.800,39279.275,3213.049
105.000,TO,282.777,73.527,92528.784,759.380,81.800,39652.445,3243.575
106.000,TO,282.777,73.527,92448.089,766.612,81.800,40059.441,3276.867
107.000,TO,282.777,73.527,92444.180,766.962,81.823,40336.952,3300.500
108.000,TO,282.777,73.527,92432.629,767.998,81.892,40506.378,3317.132
109.000,TO,282.777,73.527,92413.701,769.695,82.004,40679.032,3335.828
110.000,TO,282.777,73.527,92387.663,772.031,82.158,40754.545,3348.302
111.000,TO,282.777,73.527,92354.785,774.981,82.352,40755.848,3356.343
112.000,TO,282.777,73.527,92315.334,778.521,82.586,40626.174,3355.157
113.000,TO,282.777,73.527,92269.582,782.629,82.857,40438.315,3350.605
114.000,TO,282.777,73.527,92217.798,787.280,83.164,40129.801,3337.360
115.000,TO,282.777,73.527,92160.254,792.451,83.505,39616.788,3308.216
116.000,TO,282.777,73.527,92097.222,798.118,83.879,38874.273,3260.751
117.000,TO,282.777,73.527,92028.972,804.258,84.285,38003.130,3203.079
118.000,TO,282.777,73.527,91955.777,810.846,84.719,36950.878,3130.458
119.000,TO,282.777,73.527,91877.909,817.860,85.182,35779.612,3047.792
120.000,TO,282.777,73.527,91795.640,825.276,85.672,34543.402,2959.395
121.000,TO,282.777,73.527,91709.240,833.070,86.186,33306.186,2870.532
122.000,TO,282.777,73.527,91618.982,841.218,86.724,32238.319,2795.833
123.000,TO,282.777,73.527,91525.136,849.697,87.283,31364.658,2737.617
124.000,TO,282.777,73.527,91427.971,858.483,87.863,30772.664,2703.790
125.000,TO,282.777,73.527,91327.759,867.553,88.462,30324.503,2682.564
126.000,TO,282.777,73.527,91224.768,876.883,89.078,30115.901,2682.654
127.000,TO,282.777,73.527,91119.266,886.449,89.709,30082.427,2698.664
128.000,TO,282.777,73.527,91011.520,896.228,90.354,30113.572,2720.893
129.000,TO,282.777,73.527,90901.798,906.195,91.012,30178.922,2746.650
130.000,TO,282.777,73.527,90790.365,916.328,91.681,30269.910,2775.174
131.000,TO,282.777,73.527,90677.486,926.603,92.359,30341.584,2802.320
132.000,TO,282.777,73.527,90563.424,936.996,93.045,30313.474,2820.517
133.000,TO,282.777,73.527,90448.443,947.484,93.737,30267.475,2837.186
134.000,TO,282.777,73.527,90332.804,958.042,94.434,30223.127,2854.089
135.000,TO,282.777,73.527,90216.768,968.648,95.134,30171.007,2870.285
136.000,CL,264.742,56.648,90100.595,979.277,95.835,31162.070,2986.429
137.000,CL,264.742,56.648,89984.543,989.907,96.537,30699.554,2963.640
138.000,CL,264.742,56.648,89868.869,1000.512,97.237,30143.471,2931.056
139.000,CL,264.742,56.648,89753.831,1011.071,97.934,29680.260,2906.697
140.000,CL,264.742,56.648,89639.683,1021.558,98.626,29091.043,2869.128
141.000,CL,264.742,56.648,89526.680,1031.951,99.312,28690.397,2849.293
142.000,CL,264.742,56.648,89415.074,1042.226,99.990,28117.408,2811.455
143.000,CL,264.742,56.648,89305.120,1052.359,100.659,27687.273,2786.962
144.000,CL,264.742,56.648,89197.066,1062.327,101.316,27285.485,2764.468
145.000,CL,264.742,56.648,89091.165,1072.106,101.962,26888.339,2741.584
146.000,CL,264.742,56.648,88987.666,1081.672,102.593,26597.102,2728.680
